seed,amplitude,C_D,relative_DCR,MDL_gain
16,0.05,19.308890284499274,0.9922725743801516,10.385396044669783
16,0.075,19.448023119678396,0.9883459430975982,10.399705761904123
16,0.1,19.568020711623294,0.9859685948493551,10.421850493557997
17,0.0,19.218444305940068,1.0046527171564734,10.413334011230964
17,0.002,19.23984800716724,1.000869611436105,10.378846704148199
17,0.005,19.28122362531755,1.001978306328215,10.350269245571019
17,0.01,19.27062161914056,1.0012375886468545,10.47953241993016
17,0.02,19.25042523083795,0.9998410046453643,10.364214454726282
17,0.035,19.174983353359433,0.9954625997255446,10.42348415706623
17,0.05,19.385354897060864,0.9948500342255346,10.392747920599655
17,0.075,19.380189047418654,0.9858453400122185,10.376892684738586
17,0.1,19.620063576688572,0.9835186063283092,10.423894795482203
18,0.0,19.260051388922403,0.9992080809603165,10.410981323082064
18,0.002,19.21406206968334,1.0007050681414067,10.399970161094265
18,0.005,19.225347020722538,1.0005817126433962,10.437297853746621
18,0.01,19.279227184726743,1.0017027769340894,10.445060115978679
18,0.02,19.313189673498545,1.001515447788789,10.427868465113923
18,0.035,19.252935928012747,0.99910605586786,10.348133624391622
18,0.05,19.48750981449199,0.9972802536554495,10.376866253520133
18,0.075,19.432409318381186,0.9913306616289094,10.325150907213741
18,0.1,19.48916522802614,0.984301886323337,10.367378355229368
19,0.0,19.16783899173592,1.0003512556391343,10.415035823328177
19,0.002,19.154255302345398,1.0001291893393518,10.430211408446853
19,0.005,19.125040496233076,1.0000739304504056,10.4184696034636
19,0.01,19.232417562476787,0.9994640323379644,10.403611195379467
19,0.02,19.16416717475127,0.9983917370033859,10.374990324327033
19,0.035,19.213293846696597,0.9963009905149783,10.435619884445984
19,0.05,19.25419809857875,0.996261419861708,10.379699243119909
19,0.075,19.39807286988006,0.9903828069016709,10.350207929814818
19,0.1,19.52899503255057,0.9822313828584658,10.367651080819655
20,0.0,19.235322255861792,1.0001511541522516,10.429665539492254
20,0.002,19.23470248644785,1.0001819896396362,10.415249900340756
20,0.005,19.090923587160926,1.0011869642403948,10.406054834556791
20,0.01,19.3217106228433,1.002074257853374,10.37754909390523
20,0.02,19.19868242301106,1.00021044217365,10.406293094943036
20,0.035,19.271342117787103,0.9979302418590269,10.379473771277407
20,0.05,19.310044650205718,0.9950077160580144,10.353750832911349
20,0.075,19.44758682962621,0.9907873809131877,10.377509965088798
20,0.1,19.573998963241976,0.9809521259159611,10.342274444119647
21,0.0,19.235356460142047,1.0001126794841932,10.41481426357562
21,0.002,19.18280273099332,1.0004983438624107,10.465483929284506
21,0.005,19.16864885665987,1.001071657274605,10.468850810626176
21,0.01,19.15012600900105,0.9984991015220558,10.391468507192021
21,0.02,19.17321986943461,0.9985144552757069,10.395771758788449
21,0.035,19.335765979422195,0.9985967940987716,10.376969238875327
21,0.05,19.295892267213077,0.9974867923500674,10.422609476913976
21,0.075,19.435202277808237,0.9894362866105585,10.382186357041101
21,0.1,19.520879477806044,0.981564231787805,10.42093046971049
22,0.0,19.23288610133558,1.000350254287689,10.361724127322237
22,0.002,19.19056682194925,1.0006558482655168,10.359264738310257
22,0.005,19.163188123716246,1.0001789843095956,10.39837022149795
22,0.01,19.237284550418718,1.0003923656481897,10.373932482273235
22,0.02,19.28310266199382,1.000383231508171,10.392819442385996
22,0.035,19.240162339939715,0.9989392792477436,10.44237528327873
22,0.05,19.299579478373417,0.9967354642437779,10.419026669697216
22,0.075,19.3328636052901,0.9861973968227707,10.408243760902204
22,0.1,19.59396119791133,0.9800421462906497,10.375563027422535
23,0.0,19.161712830439413,0.9999659220540934,10.378908949812903
23,0.002,19.187646678774815,1.0009230098057467,10.363983983994704
23,0.005,19.191277032021578,0.9979515048872332,10.400456782638097
23,0.01,19.190401177641746,0.9973359058192766,10.39557894856544
23,0.02,19.191026868473216,0.9969899173507486,10.371423977059797
23,0.035,19.216270841663118,0.9948984462258655,10.360929922187514
23,0.05,19.315300865564737,0.9944634484310357,10.419385915397534
23,0.075,19.35292148534583,0.9926739749789653,10.379316986120264
23,0.1,19.61819028984338,0.9842634184337645,10.37922744299869
24,0.0,19.248266543912067,0.9982426170531787,10.393204363390419
24,0.002,19.217025352139007,0.998674644315709,10.42414729462303
24,0.005,19.08380157828539,1.0003532839479266,10.378532755380336
24,0.01,19.29644980855919,0.9977278776862745,10.38324902422244
24,0.02,19.306826777402765,0.9996180485397208,10.378218459904454
24,0.035,19.158288895864917,0.9984976291761067,10.399883162094048
24,0.05,19.3667740348732,0.9959172901982801,10.40260592780022
24,0.075,19.38018414950701,0.988777634652578,10.495610197068972
24,0.1,19.625248110528485,0.9788609995920858,10.38760758632903
25,0.0,19.18880074060399,1.0000987355427284,10.392678450500657
25,0.002,19.247539660242285,0.9973297802669876,10.450189301845064
25,0.005,19.24842696824332,1.0004123924037214,10.391288885969951
25,0.01,19.196661875868607,1.0000462935009165,10.417338468525939
25,0.02,19.255578824869914,1.0006307968014714,10.409420161454971
25,0.035,19.19265205616239,1.0002752011144145,10.436410597384421
25,0.05,19.2957807052426,0.9973257683252792,10.358160809498154
25,0.075,19.42385438747486,0.9919688038177592,10.37778849127695
25,0.1,19.632748137569028,0.9844897164264003,10.398581844256164
26,0.0,19.149916948396044,0.9998562317015557,10.431788706955308
26,0.002,19.120600839838414,1.0001774100351133,10.44662219016212
26,0.005,19.13583887083836,0.9979088516958243,10.432932278770007
26,0.01,19.233879228402177,0.9993560833476397,10.433824909830912
26,0.02,19.210055458126536,0.9982464160988773,10.392865966019412
26,0.035,19.227712156202976,0.9973043537100548,10.337679174687903
26,0.05,19.348330679102983,0.9927079437761149,10.383510893359338
26,0.075,19.425014349910114,0.9878751846379135,10.352091452061192
26,0.1,19.55923314301544,0.9818791014144834,10.359034466099192
27,0.0,19.129055856016784,0.998554879654376,10.444955584689165
27,0.002,19.15627417012047,0.9988613650700718,10.376260221672249
27,0.005,19.121826785404785,0.9986663010567675,10.375774054099285
27,0.01,19.151829647780648,0.9967934408505227,10.391824379405683
27,0.02,19.09408162971045,0.9975631108667865,10.364738529727488
27,0.035,19.235004868580972,0.9996821915301474,10.404961244099976
27,0.05,19.284127878310837,0.9952932537073326,10.398224446964862
27,0.075,19.36885615096371,0.9918521362870777,10.440416651993601
27,0.1,19.591081492012492,0.9859848984043634,10.456083418466076
28,0.0,19.16794154956432,1.0005480142675374,10.411695947376163
28,0.002,19.227949372427737,1.0007758727578453,10.409233230687622
28,0.005,19.190836826632,0.9995947478405757,10.474914169649578
28,0.01,19.19511782059251,1.0002045861890556,10.44392871210333
28,0.02,19.322689765213354,0.9979012496092212,10.34698190343226
28,0.035,19.28657851871871,0.9961249782826063,10.424596291429983
28,0.05,19.26228130973475,0.9941813078278091,10.402464495683754
28,0.075,19.402008255700526,0.9876915313823419,10.403496695168426
28,0.1,19.507984111655098,0.9792045910422779,10.318111049559324
29,0.0,19.21579803423549,0.9979857979429376,10.359369262077406
29,0.002,19.216037158875185,0.9970203031112849,10.377377276891643
29,0.005,19.219544914462908,0.9979215869235372,10.332371694697558
29,0.01,19.248869925657573,0.9982701181033468,10.403263761635106
29,0.02,19.274165964512775,0.9986992510788429,10.351257402530443
29,0.035,19.2271143435291,0.9991738629690855,10.423483871304565
29,0.05,19.286115348046344,0.9966739749784713,10.363293898935959
29,0.075,19.418881687247723,0.9910749461463557,10.410412798893228
29,0.1,19.688266875447802,0.9827990662417968,10.420433946111205
