seed,budget,method,dH,R_pi,R_pi_lip
5,200,active,0.003228877910845765,0.001915410973812352,0.0013514036568171143
5,200,uniform,0.2211839334095429,0.13070192349550064,0.11591557534638836
5,500,active,0.0008176389006670667,0.0007400451489729541,0.0012950997787810556
5,500,uniform,0.0993791699232851,0.0855218562073619,0.2063732323575194
5,1000,active,0.00041736804451348447,0.00024253580512559003,0.00022613756239984426
5,1000,uniform,0.07798971216372289,0.04371863359058712,0.0917964863262022
5,2000,active,0.00036314367045212764,0.00019900373753894567,0.0002938385288483166
5,2000,uniform,0.10295427532364082,0.053600412932755394,0.07060926016547751
5,5000,active,6.566830180988054e-05,6.218866798092052e-05,5.356563125101364e-05
5,5000,uniform,0.030685541013500656,0.016150397074645058,0.023609369736771815
5,10000,active,8.185099125337936e-05,6.840753477901257e-05,3.0776062130650097e-05
5,10000,uniform,0.05182548941200692,0.02491899925995485,0.02108041922998084
5,25000,active,5.7196051239383205e-05,8.706413517328872e-05,8.281545959144041e-05
5,25000,uniform,0.04674744143759911,0.042002226354313714,0.01526292374756673
5,50000,active,1.108894175223113e-05,1.2437733596184104e-05,1.777950756023731e-05
5,50000,uniform,0.009795437971556901,0.007288511887363885,0.005136207510143708
5,100000,active,5.901749120602873e-05,4.9750934384736417e-05,4.383643836179157e-05
5,100000,uniform,0.05228346443044446,0.028625443871617712,0.029393341485069373
6,100,active,0.004377872282164949,0.0031778409338250385,0.0064239484724334895
6,100,uniform,0.1946082917830025,0.13725660910068968,0.08611669686160213
6,200,active,0.0022356270565078687,0.0016169053675039334,0.002682820321961054
6,200,uniform,0.1531444667926987,0.11551545077455987,0.26761087111844506
6,500,active,0.0008989435554199801,0.0005596980118282846,0.0003451845885108897
6,500,uniform,0.10926126958078551,0.06825828197585836,0.07225228446247975
6,1000,active,0.0008225358878623593,0.0006965130813863098,0.0006422136727805542
6,1000,uniform,0.15369968540236503,0.12202038544536414,0.1709298620624021
6,2000,active,0.00046487065546835395,0.00031094333990460256,0.00030755636651690884
6,2000,uniform,0.13179472849790236,0.07786643117891058,0.065810307591992
6,5000,active,0.0002024058942755591,0.00016169053675039335,0.00017882538250026003
6,5000,uniform,0.09458040179171356,0.07312765467876443,0.10399746377215041
6,10000,active,7.352373641600281e-05,8.084526837519668e-05,0.00010289437546388785
6,10000,uniform,0.046552931917025656,0.03831443834304513,0.055609301693791025
6,25000,active,9.74367219532743e-05,9.328300197138078e-05,8.791337027933052e-05
6,25000,uniform,0.07963692168743725,0.04276092810368095,0.03597163116786242
6,50000,active,5.111224708420625e-05,6.218866798092052e-05,3.0110813151587105e-05
6,50000,uniform,0.045150101523364974,0.03934677023152841,0.06945111528438876
6,100000,active,6.458031983197499e-05,8.084526837519668e-05,0.00012169186679655463
6,100000,uniform,0.05721156195973624,0.04017387951567465,0.050003856262158704
7,100,active,0.005728958357129561,0.0025932674548043854,0.0010545281531586194
7,100,uniform,0.25466773074193205,0.10276677383847116,0.07323637953585656
7,200,active,0.001132741440613337,0.000721388548578678,0.000751802855763037
7,200,uniform,0.07759482219172076,0.04963899478237076,0.04498208898699787
7,500,active,0.0016870783685706775,0.0010945205564642012,0.001492636032769567
7,500,uniform,0.20505439225958683,0.13301534194439088,0.10718154395135639
7,1000,active,0.0008487755553894388,0.0006218866798092051,0.001050242540520046
7,1000,uniform,0.1586028497548194,0.12062735928259152,0.11135468470849288
7,2000,active,0.00020078462161620542,0.00019900373753894567,0.00010762958830372898
7,2000,uniform,0.05692412369158514,0.052854148916984346,0.05479355236070126
7,5000,active,0.0001832570014380086,0.00017412827034657744,0.0002603415527184509
7,5000,uniform,0.08563249054176347,0.0629100565294992,0.12053864425112461
7,10000,active,3.087196520799862e-05,3.731320078855231e-05,2.3675825485418247e-05
7,10000,uniform,0.019547163467589015,0.012692707134905877,0.017003870953793895
7,25000,active,3.6109956062520265e-05,4.353206758664436e-05,5.1861970965991925e-05
7,25000,uniform,0.029513367090364416,0.018905355066199836,0.009654788206631636
7,50000,active,2.7107831774761595e-05,4.353206758664436e-05,7.903780055723725e-05
7,50000,uniform,0.02394575520603562,0.014123046498467049,0.01908850165203481
7,100000,active,8.310134289005178e-05,0.00010572073556756488,9.007888776689811e-05
7,100000,uniform,0.07361929516701311,0.060888924820119275,0.07933306659274945
8,100,active,0.006745539240944218,0.005441508448330545,0.004561319198765233
8,100,uniform,0.2998575070778864,0.23062667520724373,0.2508289940105721
8,200,active,0.0070899993851307255,0.004583304830193842,0.0049987504708507826
8,200,uniform,0.4856776859251595,0.350426925205689,0.20081847882419035
8,500,active,0.0009227026722569246,0.00072760741537677,0.00047773987573847905
8,500,uniform,0.11214904963557876,0.0816039701245639,0.15533902884320508
8,1000,active,0.001094091518378479,0.0007587017493672303,0.00019147870172905198
8,1000,uniform,0.2044427783123107,0.14186478939807587,0.08278341036887674
8,2000,active,0.00043569850026693615,0.0004228829422702595,0.0002998152783402146
8,2000,uniform,0.12352417790658783,0.10368094725779069,0.13459544333367443
8,5000,active,0.00022449851879114,0.00013059620275993308,0.00016840201219562142
8,5000,uniform,0.10490386253282623,0.06512397310961997,0.10470155828921467
8,10000,active,9.755945733002761e-05,0.00014925280315420924,0.00012030287807139958
8,10000,uniform,0.06177159916421634,0.06970727793981381,0.07493716632258866
8,25000,active,3.2887172587898114e-05,5.596980118282847e-05,2.8762603294198906e-05
8,25000,uniform,0.02687932368206832,0.014508616239948757,0.036892220272647484
8,50000,active,6.106004219262438e-05,5.596980118282847e-05,2.434484217113513e-05
8,50000,uniform,0.0539375054176949,0.037959962935553884,0.027950294128584047
8,100000,active,6.206017685518207e-05,8.706413517328872e-05,0.00010914817733225926
8,100000,uniform,0.054978972891806546,0.05123102468268232,0.08286323711185477
9,100,active,0.005435275819123939,0.0039054483492018083,0.003343079953686372
9,100,uniform,0.24161274572544303,0.18953240340545147,0.2460291212217422
9,200,active,0.003507370195288104,0.002991274929882277,0.006716669718181788
9,200,uniform,0.24026115484620825,0.20017910336378505,0.39486006493845544
9,500,active,0.0008229310507828707,0.0006529810137996655,0.0005428573617482285
9,500,uniform,0.10002239945308042,0.07906045360414425,0.15099526848559167
9,1000,active,0.0009081385717309674,0.0006218866798092051,0.0009664435597510477
9,1000,uniform,0.16969546841239347,0.12052163854702397,0.2055830804625208
9,2000,active,0.0005358711022512599,0.0003358188070969708,0.00047006936468090276
9,2000,uniform,0.15192395045870627,0.09654168817358101,0.020252766847147323
9,5000,active,0.00010374038784165956,0.00013681506955802515,0.00018232826902531485
9,5000,uniform,0.04847589838828943,0.0431900299127493,0.04391036977261309
9,10000,active,0.00016581363469000228,0.00012437733596184103,0.00012269625369175805
9,10000,uniform,0.10498801098685029,0.07446471104035422,0.10399667828827
9,25000,active,7.581928461680709e-05,6.840753477901257e-05,4.325849148664279e-05
9,25000,uniform,0.06196857109298737,0.02697744417012332,0.01857806546894973
9,50000,active,5.006120193789175e-05,6.840753477901257e-05,6.338108367499331e-05
9,50000,uniform,0.04422165877680817,0.043805697725760415,0.04510295043483214
9,100000,active,5.423591872263239e-05,8.084526837519668e-05,8.430214040914471e-05
9,100000,uniform,0.048047479983289856,0.03942761549990361,0.025238376688540908
10,100,active,0.004769344605071342,0.004048482285557925,0.0032251589937778193
10,100,uniform,0.2120102978560225,0.16263580450370332,0.16072914498398244
10,200,active,0.0036791841461054804,0.0024253580512559,0.0033585861266262414
10,200,uniform,0.25203071891946127,0.1623497366309911,0.24899337799683297
10,500,active,0.0032695002678910564,0.0026865504567757663,0.0033628453263413413
10,500,uniform,0.3973884099960004,0.24507310277921157,0.41778214945761283
10,1000,active,0.0007124657501761875,0.0003358188070969708,0.0002992597298877776
10,1000,uniform,0.13313189524975008,0.07228188879422391,0.10495196885913463
10,2000,active,0.00020222312405839265,0.0002176603379332218,0.00022587791275682537
10,2000,uniform,0.05733195119494371,0.052120322634809486,0.050286921726421734
10,5000,active,9.824806453342244e-05,9.328300197138078e-05,0.0001462749192668249
10,5000,uniform,0.045909440790201934,0.03573982748863502,0.03715740356574613
10,10000,active,5.209857917644334e-05,8.706413517328872e-05,9.089296338721627e-05
10,10000,uniform,0.032987191995399165,0.027530923315153513,0.06635118939226532
10,25000,active,0.00010143163376110514,0.00012437733596184103,0.0002267341201445956
10,25000,uniform,0.08290204055041171,0.08108780418032226,0.02640629555287188
10,50000,active,6.372736306085869e-05,9.328300197138078e-05,8.333715923893304e-05
10,50000,uniform,0.05629368842406885,0.05001212679025628,0.050813233736536345
10,100000,active,3.109086189862628e-05,2.4875467192368208e-05,3.723445031180637e-05
10,100000,uniform,0.027543325528919495,0.017543423237417678,0.029558351020886546
11,100,active,0.004943087156130718,0.0035323163413162853,0.0017064379075907039
11,100,uniform,0.2197336252836946,0.15442068146342375,0.12802700751813054
11,200,active,0.003504527129985252,0.002885554194314712,0.0036298680996121437
11,200,uniform,0.24006639976906075,0.2091529281534319,0.1042156854275281
11,500,active,0.0012601830990496068,0.000721388548578678,0.0005813162975083095
11,500,uniform,0.15316779844100992,0.0768340992904273,0.06751815037437758
11,1000,active,0.0006275763279611699,0.0005348225446359165,0.0006042398221029312
11,1000,uniform,0.11726939285808932,0.09758645779566047,0.08644430780647808
11,2000,active,0.0006451462663898601,0.0005037282106454562,0.00036810519785742416
11,2000,uniform,0.18290437570129103,0.1284693503149856,0.051421095754295966
11,5000,active,0.00014687325469409294,0.00013059620275993308,0.00012207450976201652
11,5000,uniform,0.06863106181341483,0.05728198207722589,0.0173954484393393
11,10000,active,0.00012787518350571708,9.950186876947283e-05,0.00011342044529383422
11,10000,uniform,0.08096656946179875,0.06490631277168675,0.10733590737641165
11,25000,active,8.76092146687679e-05,5.596980118282847e-05,6.548864561804741e-05
11,25000,uniform,0.07160470947518785,0.03707066498342672,0.06522162710455293
11,50000,active,2.1823343222718283e-05,3.109433399046026e-05,8.062189739463827e-05
11,50000,uniform,0.019277692105017473,0.011511122443268388,0.02138456583191799
11,100000,active,5.760988716998344e-05,0.00010572073556756488,0.00013377512034656075
11,100000,uniform,0.05103647114007182,0.05614392945317504,0.038632836126439106
12,100,active,0.0064600246919453985,0.003495003140527733,0.0035559005080847152
12,100,uniform,0.28716561131696916,0.15096921039048264,0.1775267140241253
12,200,active,0.0034473990080954708,0.0024564523852463604,0.006900583641805789
12,200,uniform,0.23615302086258663,0.16263580450370332,0.24814125308496124
12,500,active,0.0022103599087570677,0.0014614336975516322,0.000954681489182588
12,500,uniform,0.2686561669029779,0.18649137754118444,0.0789864693110213
12,1000,active,0.0006813637924420052,0.00034203767389506286,0.00039649027463247805
12,1000,uniform,0.1273201596285991,0.06113767949204296,0.019498883076892008
12,2000,active,0.0005690692349989085,0.0005907923458187449,0.0008996848857727169
12,2000,uniform,0.16133589943987625,0.17060839173885733,0.37302475177419203
12,5000,active,0.00013723344680224316,0.00012437733596184103,0.00010230560728000001
12,5000,uniform,0.06412656402262375,0.05221360563678087,0.02739561242210571
12,10000,active,9.780923467028746e-05,9.328300197138078e-05,5.9635277375179304e-05
12,10000,uniform,0.06192975036929753,0.04583304830193842,0.06800730301755643
12,25000,active,6.66191878463257e-05,7.462640157710462e-05,5.4522474889466486e-05
12,25000,uniform,0.05444915365630756,0.03493137480488306,0.03973761458955318
12,50000,active,3.935643294128593e-05,4.353206758664436e-05,5.419786746950596e-05
12,50000,uniform,0.03476558054603022,0.02724485544244128,0.05583529646845382
12,100000,active,4.465888205588686e-05,6.840753477901257e-05,7.463479179002565e-05
12,100000,uniform,0.03956320446291427,0.03651096697159843,0.028062493910272705
13,100,active,0.0032391473958007172,0.0022761052481016907,0.0025098396757465735
13,100,uniform,0.1439888833893537,0.10019838185085914,0.09718968713928117
13,200,active,0.0015931007925079899,0.0010385507552813727,0.0010978984994945353
13,200,uniform,0.10913026423859878,0.07180925491756893,0.08969849776117987
13,500,active,0.0021614316429333785,0.0014738714311478163,0.002521165576311536
13,500,uniform,0.26270922572958416,0.16551513983121996,0.1867204981609879
13,1000,active,0.0006474960199281815,0.00029850560630841847,0.0002770518607922575
13,1000,uniform,0.12099160174140741,0.059906343866020735,0.11738927669050771
13,2000,active,0.00014916449073608395,0.00017412827034657744,0.00042065860286943186
13,2000,uniform,0.04228938378201532,0.0350495332740468,0.032638217758348395
13,5000,active,0.00021567756074895167,0.0001927848707408536,0.00011022645397433547
13,5000,uniform,0.1007819976098624,0.08866238394039838,0.21212587648264844
13,10000,active,9.474282151807067e-05,0.00012437733596184103,0.00010469672164587849
13,10000,uniform,0.05998819340197213,0.061063053090465856,0.05034989710591661
13,25000,active,0.0001572955635675486,0.00010572073556756488,4.1062348919076304e-05
13,25000,uniform,0.12856071331731045,0.08632409002431576,0.053746468406311115
13,50000,active,1.772487331293321e-05,3.109433399046026e-05,3.315628870585626e-05
13,50000,uniform,0.015657300847051053,0.014029763496495668,0.017647146064551904
13,100000,active,7.510558357674835e-05,7.462640157710462e-05,4.58758037990543e-05
13,100000,uniform,0.0665358697434007,0.04304699597639318,0.04778060348117748
14,100,active,0.0024754462831848567,0.0011940224252336739,0.0016373190858309462
14,100,uniform,0.11004029846502247,0.04723851219830722,0.034620386593545716
14,200,active,0.0041575806983364175,0.0028420221267280677,0.003392230753992328
14,200,uniform,0.2848017415699525,0.2206391751295079,0.15543604823367901
14,500,active,0.0011006911362842603,0.0006529810137996655,0.0005510288388925834
14,500,uniform,0.13378249417512034,0.08068979670524437,0.09205008283666259
14,1000,active,0.001164178718234446,0.0010136752880890044,0.0016669998611866781
14,1000,uniform,0.21753932610744425,0.1945074968439251,0.23406525837327513
14,2000,active,0.0005070044223852085,0.00024875467192368207,0.00012681862558853524
14,2000,uniform,0.14374000468618844,0.08208282286801699,0.07859871465109243
14,5000,active,7.235726658967073e-05,8.706413517328872e-05,0.00016791955215905398
14,5000,uniform,0.03381116627603895,0.028588130670829163,0.012915762791039722
14,10000,active,9.204841063582825e-05,0.00011193960236565693,9.482661805726347e-05
14,10000,uniform,0.05828217664499107,0.05096983227716245,0.024379412847661437
14,25000,active,9.031084996159039e-05,7.462640157710462e-05,0.0002010443153936896
14,25000,uniform,0.07381280837189702,0.04305321484319127,0.059102578487478775
14,50000,active,8.72468749324451e-05,0.00010572073556756488,8.092142501924989e-05
14,50000,uniform,0.07706969435924696,0.054719808956411965,0.03834480738456071
14,100000,active,3.659140181828252e-05,3.731320078855231e-05,6.166148436604496e-05
14,100000,uniform,0.032416241631659105,0.02983190403044757,0.034467616526232536
15,100,active,0.007470016632003411,0.005360663179955348,0.0060718348477620965
15,100,uniform,0.3320624912396722,0.2564163158189315,0.3529919573424018
15,200,active,0.0032240906113865523,0.0026554561227853063,0.003151105713189127
15,200,uniform,0.22085599480237375,0.18075758235334358,0.05474097216592652
15,500,active,0.0019437793167894138,0.0009017356857233475,0.000641833324579631
15,500,uniform,0.23625487346428362,0.119713185863272,0.16932580861470944
15,1000,active,0.0011947397978963048,0.0007089508149824939,0.0005840421000126641
15,1000,uniform,0.2232499928380976,0.11932761612179028,0.148000833569109
15,2000,active,0.0005801628594009692,0.0004975093438473641,0.00040124102941620975
15,2000,uniform,0.1644810349715064,0.12611239979850872,0.06485156867160284
15,5000,active,0.00016443680751980494,0.00018656600394276155,0.00017142796808202685
15,5000,uniform,0.07683817400791283,0.07810896698403617,0.11697138599692988
15,10000,active,0.0001063869217102561,9.950186876947283e-05,0.00014269896600944469
15,10000,uniform,0.0673608737077416,0.05133674541824989,0.13274867452385153
15,25000,active,5.472971422389172e-05,9.950186876947283e-05,6.509158342312186e-05
15,25000,uniform,0.04473165638426444,0.0248008407907911,0.02178600867141098
15,50000,active,3.928646941715741e-05,3.109433399046026e-05,1.431061307908961e-05
15,50000,uniform,0.034703778132802655,0.023575724031566967,0.01504290092189014
15,100000,active,4.6362065219780607e-05,5.596980118282847e-05,4.9152642900170105e-05
15,100000,uniform,0.041072050646495495,0.02958936822532198,0.03150622930752648
16,100,active,0.010550584082918334,0.008264873974664336,0.010800244314578007
16,100,uniform,0.4690020661530804,0.4038283344009055,0.1505949307752276
16,200,active,0.002298978497926145,0.0011815846916374897,0.0015792481007753773
16,200,uniform,0.15748415425904774,0.08236889074072923,0.11704433215183734
16,500,active,0.001326275738848172,0.0012313356260222263,0.0008607916950236986
16,500,uniform,0.16120096769929462,0.14572048681289296,0.25568941693518715
16,1000,active,0.0007405623489991908,0.00034203767389506286,0.00042703417527810287
16,1000,uniform,0.13838204720504288,0.06683416147909528,0.11146568102480554
16,2000,active,0.00017924789627811466,0.00016169053675039335,0.00015110097851995833
16,2000,uniform,0.05081828148520249,0.033152778900628725,0.020842277562609708
16,5000,active,0.0004548181180528133,0.0003482565406931549,0.00045148297096635263
16,5000,uniform,0.21252780459561357,0.1539729230539611,0.15182659222346534
16,10000,active,0.0001427338287078167,7.462640157710462e-05,6.958405232384924e-05
16,10000,uniform,0.09037459919735796,0.04400470146329936,0.09014211849107158
16,25000,active,0.00010092186330816488,9.950186876947283e-05,0.00011356466963787516
16,25000,uniform,0.08248539527719899,0.05756183108314003,0.05042124142856479
16,50000,active,7.111244044046006e-05,6.218866798092052e-05,9.563243583910745e-05
16,50000,uniform,0.06281731069593394,0.03737538945653323,0.031865681428750584
16,100000,active,7.314966012735014e-05,7.462640157710462e-05,5.422146066273997e-05
16,100000,uniform,0.06480312150209605,0.035086846474835356,0.029893676481753895
17,100,active,0.004682751265369184,0.003706444611662863,0.0034116877965996812
17,100,uniform,0.20816098914322947,0.15761096013084497,0.1596881683403167
17,200,active,0.00443831567033201,0.0022761052481016907,0.0035899300000397324
17,200,uniform,0.30403259113011855,0.17280987058538194,0.38998626791911156
17,500,active,0.001689025207323197,0.0009701432205023601,0.001934299483047233
17,500,uniform,0.20529101898936603,0.10565232803278586,0.08849276181417051
17,1000,active,0.0005956690861602917,0.0004353206758664436,0.0007337392104049738
17,1000,uniform,0.11130718124006175,0.08970093469567976,0.037759992164044236
17,2000,active,0.0006768560489062228,0.00040422634187598335,0.0003569863889416401
17,2000,uniform,0.19189436491296769,0.12193954017698895,0.094360964648465
17,5000,active,4.462232774357341e-05,4.9750934384736417e-05,3.767517798591901e-05
17,5000,uniform,0.020851160001928756,0.012873054272050547,0.012067069945337938
17,10000,active,0.00011310435246370604,9.950186876947283e-05,0.0001525610091221378
17,10000,uniform,0.0716141409077496,0.05106311527913383,0.029259061135810407
17,25000,active,3.1689769474277374e-05,3.731320078855231e-05,4.8896877870542584e-05
17,25000,uniform,0.025900662905332633,0.01297255614082002,0.01326632672674419
17,50000,active,6.97001194421301e-05,7.462640157710462e-05,0.0001144532716103115
17,50000,uniform,0.061569734232477843,0.051212368082288046,0.03790086216524964
17,100000,active,7.596577380881292e-05,0.00011815846916374898,0.00017158072459020672
17,100000,uniform,0.06729791036017244,0.06894235732364848,0.10428285296941676
18,100,active,0.01323472144081928,0.009110639859204855,0.0069817316694258304
18,100,uniform,0.5883192486711926,0.41285812899173513,0.7129595353052153
18,200,active,0.0029585871002669787,0.0018843166398218917,0.0026277080461680545
18,200,uniform,0.20266852765590185,0.13184619498634959,0.4052279330010089
18,500,active,0.0010320943667627355,0.0007587017493672303,0.0009661050045674512
18,500,uniform,0.1254449627674312,0.08956411962612172,0.04923623643175226
18,1000,active,0.0008920129076742113,0.0005907923458187449,0.00044179008825696577
18,1000,uniform,0.1666822144875366,0.11075179880722134,0.2057913850832975
18,2000,active,0.0003013257606036407,0.0002736301391160503,0.0002372319776241209
18,2000,uniform,0.08542837957403274,0.07669728422086927,0.0536390877302668
18,5000,active,0.0002698335210529058,0.00015547166995230128,0.00020310012395105195
18,5000,uniform,0.1260880417015694,0.07439630350557522,0.04951207514461318
18,10000,active,9.309102154785032e-05,0.00010572073556756488,5.990990049928581e-05
18,10000,uniform,0.058942325287784814,0.04543504082686053,0.10473440980777364
18,25000,active,6.33183905683829e-05,6.840753477901257e-05,5.052067753902884e-05
18,25000,uniform,0.05175134805428198,0.030727420849372827,0.03278319375575562
18,50000,active,1.823508150511355e-05,3.109433399046026e-05,2.8195657115146212e-05
18,50000,uniform,0.01610799423251092,0.008737507851319333,0.01231378140535996
18,100000,active,1.0688522117489885e-05,3.731320078855231e-05,5.3224867616333714e-05
18,100000,uniform,0.009468938013551732,0.007947711767961642,0.0027162345300933465
19,100,active,0.0072727935099324535,0.006162896996909223,0.0038550895276078267
